Aufnahmeanlass observed
Missing values Observation.id
Missing values OPS.code
Missing values OPS.display
Missing values partOf
Missing values Pathology report code
Missing values Patient
Missing values performer
Missing values period.end
Missing values period.start
Missing values policy
Missing values Primaerdiagnose
Missing values Probenbehälter
Missing values Procedure.id
Missing values Procedure.meta
Missing values Processing
Missing values provision type
Missing values quantity
Missing values Quantity of specimen within container
Missing values recordedDate
Missing values Referenzbereich
Missing values request
Missing values result
Missing values Schlussfolgerungscode
Missing values Seitenlokalisation
Missing values ServiceRequest
Missing values ServiceSectionID
Missing values SNOMED.code
Missing values SNOMED.display
Missing values specimen
Missing values Specimen ID
Missing values Specimen meta
Missing values Specimen Text
Missing values status
Missing values Status
Missing values subject
Missing values Subject
Missing values Untersuchungszeitpunkt
Missing values Verifizierungsstatus
Missing values: Patient.address.country
Missing values: Patient.address.postalCode
Missing values: Patient.birthDate
Missing values: Patient.gender
Missing values: Patient.id
Missing values: Patient.identifier:PseudonymisierterIdentifier
Missing values: Patient.meta
Missing values: Patient.meta.profile
mode observed
observation-category observed
OPS observed
Pathology report code observed
Probenbehälter observed
procedure_category_sct observed
Schlussfolgerungscode observed
Seitenlokalisation observed
ServiceSectionID observed
Status observed
Verifizierungsstatus observed
Weg der Anwendung observed
